Study_Hours,Attendance,Previous_Score,Assignment_Score,Sleep_Hours,Participation,Backlogs,Performance
3.9,96.1,99.5,64.9,5.9,8,0,Excellent
6.7,70.5,52.9,55.9,5.1,2,1,Average
7.2,71.8,64.3,79.4,5.0,6,4,Average
8.6,51.5,66.1,62.8,5.7,7,0,Good
8.1,66.4,52.5,76.6,5.8,7,0,Excellent
7.1,62.4,67.5,64.9,7.3,7,1,Good
4.6,63.0,44.3,59.8,6.5,9,0,Average
2.7,30.0,51.9,86.9,6.9,8,1,Poor
6.3,69.6,73.9,85.5,7.6,7,1,Excellent
8.4,65.3,72.2,64.8,5.4,4,2,Average
5.1,94.2,67.9,70.7,4.7,7,1,Good
5.5,79.0,59.0,77.5,6.6,8,3,Average
4.0,77.9,81.1,55.6,6.7,4,0,Good
5.3,80.5,57.1,68.2,3.9,7,0,Good
1.8,42.0,71.6,63.0,5.2,7,0,Poor
7.9,71.7,47.8,68.4,7.3,3,0,Good
4.9,78.7,61.4,74.9,4.9,8,2,Average
4.9,79.0,61.5,79.9,7.4,6,1,Good
5.4,85.6,63.7,90.2,5.6,9,0,Excellent
5.0,51.1,73.5,61.1,7.8,5,0,Average
4.0,38.6,41.2,80.6,7.5,6,1,Poor
3.7,71.1,59.0,100.0,6.5,7,0,Good
5.5,44.4,61.3,60.5,5.2,5,1,Average
6.4,67.6,58.3,73.9,5.5,9,2,Average
7.0,84.5,80.7,62.5,8.2,6,0,Excellent
9.8,69.5,68.1,55.6,5.8,7,0,Excellent
8.8,81.5,65.6,71.7,7.3,3,0,Excellent
4.8,89.0,78.1,43.9,5.3,2,1,Average
7.4,74.4,62.4,82.4,7.3,2,2,Average
2.2,95.7,76.7,75.6,5.6,6,0,Good
6.2,69.4,76.6,30.1,8.0,2,0,Average
4.8,87.1,46.3,85.5,5.6,2,0,Average
5.2,55.8,79.9,63.1,4.5,5,1,Average
6.1,87.7,83.3,87.0,6.4,6,2,Good
4.4,72.1,63.9,69.5,7.4,6,0,Good
2.7,72.2,71.7,61.8,6.5,6,2,Poor
7.2,31.6,96.3,68.0,7.9,3,0,Good
3.6,,62.5,77.7,5.3,5,1,Average
5.4,90.8,81.6,86.6,7.3,3,0,Excellent
5.7,90.1,61.2,74.8,8.4,7,0,Excellent
7.6,56.6,74.0,79.8,6.1,8,2,Good
2.7,55.8,40.3,57.6,8.5,2,0,Poor
8.6,90.1,54.7,100.0,7.8,5,0,Excellent
5.0,57.6,42.0,90.2,4.1,10,1,Average
6.3,87.8,76.4,73.9,6.6,5,0,Excellent
6.2,74.5,50.7,57.8,5.2,7,0,Good
7.0,51.4,50.2,83.2,5.2,5,0,Average
6.2,100.0,68.3,72.2,5.3,8,1,Good
5.3,68.6,66.8,77.6,6.6,6,0,Good
2.1,92.2,60.5,66.1,7.5,7,0,Good
4.4,93.7,54.9,73.9,5.4,10,1,Good
3.4,69.7,71.8,87.1,8.6,2,0,Average
4.8,100.0,52.9,92.9,8.7,4,1,Good
3.8,50.7,73.5,54.6,5.6,4,0,Average
5.5,51.7,70.0,81.7,3.9,6,0,Good
9.3,71.1,90.9,71.4,5.6,4,0,Excellent
4.8,61.4,54.0,87.3,7.9,7,3,Poor
1.9,76.1,76.7,71.1,8.1,4,1,Average
5.3,72.7,75.6,83.4,5.5,3,0,Good
6.6,62.3,41.0,100.0,5.0,7,0,Good
5.2,73.5,78.8,65.9,6.8,6,1,Good
4.5,57.2,59.7,55.5,8.2,6,2,Poor
4.9,87.3,85.9,77.8,6.5,3,0,Good
2.8,82.6,65.8,44.8,5.7,1,0,Poor
2.3,84.0,88.0,87.1,6.2,8,0,Good
4.1,69.5,54.4,74.2,5.7,6,4,Poor
6.0,92.9,79.2,49.2,3.2,7,0,Good
7.2,67.4,47.4,86.9,6.1,7,0,Good
3.7,36.1,56.8,75.5,4.6,6,0,Poor
4.9,45.6,95.9,53.3,6.4,8,0,Good
2.0,50.8,87.1,67.1,5.6,8,1,Poor
4.1,73.7,78.8,89.7,8.1,6,1,Good
5.1,63.7,71.9,60.5,9.1,6,0,Good
4.0,63.0,84.5,56.3,4.8,7,0,Good
7.6,85.8,79.9,59.4,4.7,9,0,Excellent
3.0,84.6,83.4,61.8,6.6,8,1,Good
6.2,91.1,59.5,58.3,5.1,2,0,Good
5.3,67.7,60.0,72.9,6.3,3,2,Average
4.6,79.2,61.3,92.5,7.1,7,1,Good
6.1,79.9,65.5,68.7,6.4,7,0,Excellent
7.7,75.3,69.6,93.8,6.8,10,0,Excellent
6.4,79.9,78.5,61.3,7.1,5,0,Excellent
4.5,62.2,56.3,78.2,8.7,6,1,Average
2.6,79.2,86.8,49.7,5.1,5,2,Poor
8.8,69.0,68.4,83.1,4.7,2,1,Good
3.7,77.7,52.5,100.0,6.1,6,1,Average
9.5,93.1,80.4,78.3,7.5,4,0,Excellent
3.6,89.2,75.2,31.2,7.5,5,0,Average
4.8,73.2,87.7,78.8,5.2,9,1,Good
5.6,92.2,60.4,86.8,4.0,3,0,Good
5.3,48.5,69.8,67.9,5.9,2,2,Poor
5.9,72.1,85.9,54.4,6.4,6,0,Good
8.7,68.1,56.0,76.6,5.2,6,1,Good
5.3,60.4,51.6,75.0,6.2,4,1,Average
8.3,70.9,64.7,59.5,3.3,7,0,Good
5.2,85.5,66.5,68.5,5.7,7,4,Poor
6.7,56.2,69.4,51.0,7.1,5,1,Average
4.3,68.6,56.9,78.9,5.9,8,0,Good
5.9,85.4,67.6,64.9,5.4,6,0,Good
4.9,68.3,95.2,94.8,5.2,4,0,Good
4.6,95.6,55.3,58.8,5.9,4,1,Average
5.2,69.6,72.7,74.4,6.5,5,2,Average
4.6,100.0,69.5,59.5,5.9,8,1,Good
5.4,80.4,85.5,86.6,7.2,7,0,Excellent
6.1,62.3,55.3,84.4,6.1,5,0,Good
6.7,72.0,47.6,59.7,6.8,6,0,Good
4.8,81.8,49.1,76.0,6.3,7,0,Good
4.4,100.0,68.4,58.7,7.3,6,0,Good
2.8,92.1,84.8,68.3,3.7,4,0,Average
7.2,83.2,52.4,62.1,6.0,4,1,Average
7.7,97.8,80.0,64.0,7.0,5,1,Excellent
3.3,92.9,48.2,64.4,7.2,4,1,Average
5.3,100.0,50.0,60.5,7.2,6,2,Average
6.5,56.8,77.5,73.8,7.3,4,0,Good
7.4,73.2,32.4,81.9,5.8,5,1,Average
5.9,68.5,76.3,72.7,6.9,7,0,Good
5.8,100.0,61.6,65.1,6.5,5,0,Good
6.7,90.8,52.0,76.0,7.7,7,0,Excellent
4.8,72.5,66.1,86.3,5.3,6,0,Good
6.4,84.8,100.0,44.7,5.6,8,1,Good
4.7,89.3,89.2,88.4,8.6,7,0,Excellent
5.1,71.2,29.0,75.9,6.7,8,0,Good
3.6,77.9,53.9,51.5,5.7,5,0,Average
0.5,81.8,46.4,57.5,5.6,5,0,Poor
4.3,63.7,69.8,88.8,4.1,6,3,Poor
4.6,61.7,69.0,71.4,3.7,5,1,Average
3.4,52.3,38.0,47.8,6.8,7,1,Poor
3.8,77.2,55.8,60.1,6.9,4,0,Average
4.5,60.2,63.0,71.1,6.2,4,3,Poor
7.5,92.6,39.0,72.9,7.5,6,0,Excellent
2.5,76.6,64.5,67.1,6.3,2,1,Poor
6.6,87.8,84.3,76.6,7.6,9,0,Excellent
7.2,64.9,85.9,66.5,6.9,6,2,Good
3.5,47.5,82.6,92.2,7.5,4,0,Good
2.6,71.8,60.4,80.9,8.2,8,0,Good
3.4,91.7,47.2,47.2,8.2,9,0,Good
4.0,74.8,73.2,70.1,5.9,5,0,Average
4.2,47.9,59.7,68.7,6.8,6,2,Poor
4.8,81.7,41.4,54.2,4.9,6,1,Average
5.6,71.7,83.4,55.1,5.4,3,3,Poor
0.6,86.2,48.9,73.3,9.2,4,0,Poor
7.0,100.0,81.9,63.7,4.8,5,0,Excellent
5.6,82.0,81.3,71.4,6.9,5,0,Good
6.9,73.1,47.4,69.8,7.0,6,0,Good
3.0,65.2,56.1,89.2,3.7,10,1,Average
4.3,81.2,87.4,86.3,6.2,5,0,Excellent
6.4,77.9,64.7,64.6,8.0,7,1,Good
3.4,92.2,57.0,57.5,5.6,4,0,Average
6.6,82.7,55.4,76.0,7.5,7,1,Good
6.0,63.5,68.2,58.5,6.5,2,0,Average
3.3,70.4,36.6,73.0,6.5,4,1,Poor
5.2,72.6,54.4,56.0,5.5,7,3,Poor
6.8,72.1,61.0,41.9,7.3,3,4,Poor
7.6,62.2,70.0,70.1,7.8,10,1,Good
5.5,67.6,77.1,56.4,7.1,7,1,Good
5.1,63.9,78.3,44.3,6.5,6,0,Average
3.2,91.8,65.0,69.9,6.1,6,2,Average
7.5,70.9,53.3,80.2,5.9,8,2,Good
6.9,,70.9,68.6,6.8,4,0,Excellent
2.1,82.8,52.8,72.7,6.6,3,0,Average
6.4,93.1,62.9,63.7,6.5,7,0,Excellent
4.5,53.9,43.8,87.3,6.1,5,1,Average
7.3,73.9,75.1,55.0,4.5,7,0,Excellent
6.8,91.1,44.5,91.7,5.5,6,0,Excellent
3.8,72.6,65.6,56.0,7.5,4,0,Average
2.5,71.7,25.4,80.9,3.4,5,0,Poor
5.0,83.2,47.3,85.6,7.4,7,0,Good
5.4,89.7,53.9,39.7,6.8,7,4,Poor
5.4,78.7,61.7,90.9,4.4,4,0,Good
3.2,100.0,63.4,60.3,6.4,7,0,Good
2.2,65.8,59.4,65.6,8.2,7,1,Average
4.2,55.5,88.7,53.6,7.6,7,0,Good
7.2,73.9,60.2,72.1,5.4,10,0,Excellent
6.3,75.1,40.6,62.6,6.8,7,0,Good
0.1,98.0,43.6,66.3,5.9,7,3,Poor
5.7,68.6,40.7,60.0,6.7,6,0,Average
5.9,75.3,55.4,76.8,8.8,5,0,Good
7.6,78.5,47.0,69.9,8.5,7,0,Excellent
2.2,84.1,78.2,63.7,5.9,6,0,Average
3.9,63.1,70.1,59.4,4.5,3,1,Poor
0.9,90.1,54.7,81.1,3.9,7,1,Poor
3.7,52.1,65.5,73.0,6.3,2,1,Poor
8.6,76.6,51.5,51.4,6.3,7,1,Good
0.0,81.1,45.1,62.3,5.2,5,0,Poor
0.0,78.0,71.6,75.7,8.1,3,1,Poor
5.9,76.6,80.8,62.0,4.3,7,0,Good
2.6,58.7,75.2,53.9,7.4,6,0,Average
2.4,88.0,73.7,63.6,5.0,8,1,Average
5.2,62.9,52.5,77.3,7.0,8,3,Poor
6.7,89.6,77.1,70.5,5.3,1,3,Average
6.2,88.3,60.2,95.1,6.8,6,1,Good
6.5,67.0,73.1,51.8,4.9,8,1,Good
5.0,85.0,48.6,64.6,7.4,7,0,Good
6.0,86.6,50.0,72.7,8.2,9,2,Good
6.1,67.1,32.7,85.4,5.9,4,0,Average
6.8,65.3,76.6,85.6,9.0,6,0,Excellent
2.7,54.7,42.2,85.6,5.7,9,0,Average
7.1,100.0,55.1,63.9,6.3,7,1,Good
7.5,96.7,59.6,51.4,6.0,6,0,Excellent
1.3,55.1,66.2,91.2,5.7,4,0,Average
1.7,65.2,63.7,49.7,5.3,3,1,Poor
5.9,73.7,67.8,72.8,5.4,8,0,Excellent
6.8,57.8,77.3,91.5,5.0,4,1,Good
5.6,100.0,75.9,57.9,8.7,6,0,Excellent
6.3,74.1,81.9,65.3,7.2,3,4,Poor
4.7,79.7,67.8,47.5,5.9,9,0,Good
8.8,95.7,45.6,79.7,5.8,6,0,Excellent
6.2,64.5,51.9,93.9,6.1,9,0,Excellent
6.1,82.1,66.1,80.4,7.1,3,1,Good
8.8,72.2,55.7,72.2,7.5,2,0,Excellent
5.7,85.8,61.5,90.3,4.8,7,1,Good
0.5,83.1,67.8,63.3,4.2,4,0,Poor
3.9,96.7,46.2,81.4,6.1,5,0,Good
2.7,77.0,67.5,60.3,6.9,3,0,Average
11.5,93.7,44.7,51.5,7.1,7,0,Excellent
2.0,85.6,65.1,84.9,3.7,3,2,Poor
7.0,82.2,71.3,78.5,9.2,3,0,Good
6.2,59.4,76.2,71.6,8.8,5,0,Good
4.5,70.4,100.0,76.1,4.7,4,0,Good
6.0,43.6,86.2,88.8,3.5,8,0,Good
0.0,75.1,69.9,82.9,5.2,6,1,Poor
3.3,81.5,52.9,63.4,4.8,5,0,Average
4.3,74.2,100.0,54.4,8.4,7,0,Good
5.3,80.4,70.1,40.8,6.3,5,0,Good
3.2,74.0,83.6,63.6,6.4,6,0,Good
7.1,82.4,65.7,72.7,5.8,5,2,Average
0.9,84.3,55.5,53.3,5.7,5,0,Average
4.4,94.3,79.5,67.1,9.2,6,0,Excellent
6.0,96.8,75.6,81.0,6.6,8,0,Excellent
8.4,64.2,72.9,72.1,6.3,6,1,Good
8.7,91.1,67.9,83.2,5.2,6,0,Excellent
7.1,65.5,49.9,59.4,5.6,7,0,Good
3.0,97.8,72.7,84.4,5.6,7,1,Good
4.9,53.7,81.6,58.6,5.7,3,1,Average
6.9,56.5,73.3,78.8,5.6,7,0,Good
8.2,68.1,64.0,65.3,7.1,4,1,Good
6.5,70.5,60.1,80.2,6.9,6,0,Good
5.3,92.4,52.8,75.2,6.9,5,0,Good
4.9,73.0,70.0,90.0,7.9,3,0,Good
6.4,91.1,95.3,83.5,6.9,9,4,Good
4.2,98.5,52.7,91.5,7.1,3,3,Average
6.2,52.9,67.1,85.7,7.2,7,0,Excellent
9.3,67.4,49.1,90.7,9.1,6,1,Good
6.9,81.1,49.7,53.1,7.0,5,1,Good
4.3,80.1,88.3,82.0,7.0,6,3,Average
11.7,58.5,60.3,46.8,7.2,6,1,Excellent
4.0,72.7,63.9,63.7,6.8,4,2,Poor
6.8,81.4,59.9,67.7,6.8,4,2,Average
5.6,87.3,64.5,76.4,5.8,5,4,Poor
5.7,65.0,62.3,60.8,5.6,2,0,Average
4.4,71.4,64.1,76.7,7.6,4,0,Good
3.3,69.3,56.3,89.2,5.0,5,0,Average
4.9,62.3,73.6,45.0,6.0,6,1,Average
5.0,,76.7,58.1,6.5,2,2,Poor
4.7,65.5,91.1,65.5,8.9,7,1,Good
6.8,93.4,67.1,53.4,5.9,9,0,Excellent
7.7,74.1,79.3,64.9,4.3,4,0,Good
5.8,78.9,46.2,65.1,10.0,3,1,Average
8.2,57.5,68.3,54.6,5.7,4,0,Good
4.1,80.7,62.1,70.9,7.1,5,1,Average
3.4,71.5,82.7,72.7,5.8,6,1,Average
3.5,69.6,73.1,74.1,7.0,8,0,Good
0.4,66.2,64.5,57.3,5.3,4,0,Poor
7.0,98.9,61.9,69.4,4.9,9,4,Average
3.8,95.8,59.2,75.4,6.7,1,1,Average
7.0,65.2,65.0,70.8,5.8,8,0,Good
4.9,68.6,56.5,74.6,4.5,7,0,Good
3.9,96.4,55.8,74.6,5.9,7,1,Average
4.6,85.0,66.5,88.1,5.6,7,0,Good
5.4,85.4,43.1,53.6,8.0,6,0,Good
6.9,97.1,55.9,66.8,4.4,5,0,Good
2.5,58.6,69.5,69.2,7.1,2,0,Average
7.7,86.7,72.0,91.3,5.3,9,0,Excellent
6.3,58.4,78.9,63.0,5.9,4,2,Average
5.8,66.4,37.7,73.8,4.0,5,1,Poor
4.5,76.8,49.9,66.1,7.4,7,3,Poor
5.6,94.1,76.0,74.0,4.3,4,0,Good
6.1,77.7,51.3,55.6,6.4,6,1,Average
5.2,71.8,50.7,71.1,6.8,3,0,Average
6.0,68.5,62.8,71.8,6.1,2,1,Average
6.1,51.8,81.2,63.4,6.4,8,0,Good
3.9,58.8,55.4,69.0,5.4,8,0,Average
7.6,68.1,58.8,86.2,4.1,5,3,Average
9.3,74.6,57.3,53.9,6.1,6,1,Good
4.2,77.6,50.6,67.1,7.3,6,1,Average
3.6,42.2,82.2,75.6,7.1,2,0,Average
4.4,63.2,91.0,58.0,5.8,6,0,Good
4.2,57.0,60.6,72.1,7.8,6,1,Average
5.5,85.4,46.0,93.8,6.8,9,1,Good
3.9,70.5,69.1,72.1,8.1,5,0,Good
4.6,79.6,64.2,87.1,4.0,6,1,Average
4.8,97.6,54.6,88.3,5.0,8,0,Good
8.6,91.1,54.1,75.1,4.8,7,0,Excellent
7.8,70.1,59.9,90.9,5.9,4,0,Good
7.3,99.8,57.7,61.4,7.1,5,3,Average
4.8,76.3,57.2,65.0,6.4,5,1,Average
4.8,74.4,39.0,90.9,6.6,6,0,Good
7.1,71.4,76.7,61.2,6.6,8,2,Good
3.4,64.3,63.3,57.4,7.6,5,0,Average
3.3,74.8,55.1,42.9,5.6,7,0,Average
7.9,79.7,55.9,76.4,5.9,4,0,Excellent
3.1,98.5,52.1,77.4,5.0,7,2,Average
2.8,63.7,43.0,63.0,7.8,7,1,Poor
7.6,82.2,54.6,89.6,5.0,5,4,Average
7.0,100.0,58.9,80.0,9.5,4,0,Good
3.3,92.2,68.1,83.0,7.2,8,0,Excellent
2.9,64.8,53.4,81.6,7.7,6,0,Average
8.7,99.3,78.8,45.9,8.9,7,0,Excellent
2.7,86.4,85.6,79.7,6.9,4,2,Average
0.3,71.9,73.0,65.6,6.5,5,0,Poor
2.6,100.0,45.8,72.7,7.8,3,3,Poor
9.3,63.4,65.0,72.7,5.5,7,0,Excellent
6.0,64.0,68.4,44.0,7.3,6,1,Average
7.6,73.3,68.8,79.1,5.0,8,0,Excellent
3.0,92.6,75.0,97.2,5.4,5,0,Good
5.6,98.0,55.1,64.7,6.9,3,0,Good
7.6,77.0,66.2,77.8,5.4,6,0,Excellent
1.5,54.2,56.1,66.0,5.7,5,0,Poor
7.8,80.1,46.9,54.9,8.7,4,1,Average
4.1,61.2,69.9,94.2,7.4,8,2,Average
8.9,75.0,47.3,76.3,9.2,3,2,Average
4.5,100.0,55.4,58.1,6.6,8,0,Excellent
7.4,82.1,65.0,61.8,5.1,7,0,Excellent
5.5,80.2,84.3,58.8,8.3,4,0,Good
6.1,100.0,75.6,66.6,5.2,8,1,Excellent
3.7,41.2,47.3,73.1,5.2,5,0,Poor
5.2,43.1,71.9,56.3,5.0,2,0,Poor
7.1,98.8,48.2,97.9,5.5,6,3,Good
4.8,57.1,86.8,95.3,4.3,3,0,Average
4.2,62.4,75.1,71.1,5.6,7,1,Average
7.4,66.5,52.8,71.1,7.6,6,0,Good
4.0,71.7,47.8,59.4,6.7,8,0,Average
10.0,68.9,72.4,78.0,6.8,5,0,Excellent
3.2,73.5,57.6,100.0,7.2,6,0,Good
3.5,69.0,94.9,58.4,5.8,5,1,Average
6.8,,43.3,74.6,8.1,8,1,Good
6.0,91.5,72.0,88.8,7.2,5,0,Excellent
6.1,91.5,94.0,89.6,7.2,2,1,Excellent
4.8,62.9,59.2,64.2,5.9,3,0,Average
0.0,39.4,59.9,67.2,6.7,4,0,Poor
8.7,100.0,67.4,84.3,6.7,3,1,Excellent
6.8,50.4,66.8,74.5,6.7,5,1,Average
7.5,95.8,60.5,33.6,6.0,5,0,Good
6.1,61.3,82.0,50.5,5.8,7,0,Good
6.8,74.3,62.3,65.0,8.0,4,4,Poor
4.2,67.6,73.9,48.6,4.3,4,1,Poor
8.8,48.8,71.5,76.7,5.5,6,0,Good
7.4,77.4,65.1,75.6,5.4,3,0,Good
3.7,57.4,62.0,99.0,4.1,3,1,Poor
5.6,100.0,44.6,50.4,6.9,8,1,Good
6.9,58.8,85.6,74.4,7.4,8,0,Excellent
3.7,100.0,42.9,44.1,6.7,5,0,Average
6.4,76.8,63.3,51.8,6.8,4,1,Average
0.0,74.4,65.7,83.1,6.7,8,0,Average
5.7,77.9,45.9,74.0,5.4,4,0,Good
1.0,51.7,92.9,59.8,6.8,3,0,Poor
7.7,69.1,81.0,78.5,9.5,3,1,Good
5.4,84.7,59.5,66.1,7.1,5,2,Average
9.5,75.0,76.7,58.9,5.5,8,0,Excellent
5.4,90.1,54.5,80.6,7.9,5,0,Good
7.6,88.4,44.4,74.9,3.9,6,0,Good
6.7,,43.7,58.3,5.7,6,0,Good
5.9,79.0,59.9,75.2,6.3,6,0,Good
3.4,70.6,58.2,83.9,5.7,5,2,Poor
5.9,83.3,71.7,58.4,6.7,6,0,Excellent
5.0,59.3,65.4,83.9,5.7,5,1,Average
6.6,83.9,62.9,74.7,7.8,7,1,Good
4.2,71.9,92.1,65.1,7.9,6,0,Good
6.3,62.2,100.0,73.7,8.2,5,2,Good
5.7,82.1,79.1,56.3,8.3,6,0,Good
7.1,71.7,81.0,90.3,5.3,4,3,Average
3.4,59.7,60.5,70.3,6.2,5,0,Average
5.6,43.0,80.2,67.8,10.0,10,0,Good
3.8,51.7,91.2,89.6,6.0,7,1,Average
2.4,40.3,77.9,58.4,3.9,6,1,Poor
5.0,71.6,74.3,50.3,6.0,6,0,Good
5.7,77.5,50.1,67.5,3.7,6,0,Good
6.8,73.4,58.2,62.0,7.9,9,0,Excellent
5.6,74.7,69.8,69.8,5.4,7,0,Good
3.8,53.7,57.2,62.6,7.8,3,0,Average
1.1,82.1,37.5,52.8,3.8,5,0,Poor
2.7,61.2,57.6,64.6,6.9,4,0,Average
5.4,94.5,73.8,64.2,6.8,5,0,Excellent
5.2,65.4,51.6,58.1,4.6,7,0,Average
3.0,82.7,65.5,42.4,7.4,7,1,Average
2.4,71.7,53.9,63.0,6.4,5,0,Average
4.1,57.2,59.0,73.8,6.4,6,1,Average
1.8,69.3,60.0,73.9,7.6,3,1,Poor
2.9,69.0,83.6,75.3,5.2,5,0,Average
2.7,92.7,90.1,56.2,8.3,5,0,Good
3.8,82.4,84.4,54.5,6.0,5,1,Average
2.0,67.0,61.0,55.1,6.4,6,0,Average
5.7,99.8,67.1,83.9,4.7,6,0,Excellent
6.3,94.9,55.2,75.3,6.3,7,2,Good
1.6,72.1,69.5,72.5,4.1,4,3,Poor
0.0,85.5,61.2,91.2,7.0,4,0,Average
4.1,,85.9,79.9,7.1,6,0,Excellent
3.7,66.7,94.1,59.6,8.2,3,1,Average
1.9,78.3,80.1,58.2,4.6,5,3,Poor
0.0,75.9,79.2,55.8,7.6,3,0,Poor
7.1,81.9,47.3,72.4,7.4,9,1,Good
6.9,66.4,67.9,84.1,5.8,2,0,Good
